4659584	Middleburg	$345.600
5309510	Middleburg	$23.220
3426976	Middleburg	$282.470
6530680	San Diego	$434.510
4754336	Clay County	$497.490
2932455	Middleburg	$4.350
9479088	Jacksonville	$168.980
2492308	Jacksonville	$267.350
4140600	Jacksonville	$254.250
4391183	Clay County	$32.780
2950417	San Diego	$39.290
6008196	Clay County	$406.80
6007985	San Francisco	$150.530
4310370	San Diego	$328.850
6525615	Clay County	$86.340
2261677	San Diego	$158.300
4706440	Ocala	$245.390
4804673	Jacksonville	$372.630
2506926	San Francisco	$68.690
8294777	Jacksonville	$422.210
2301385	Middleburg	$412.450
9174458	Middleburg	$313.350
4791001	San Francisco	$48.180
4644218	San Diego	$235.370
8224835	Clay County	$487.940
5929518	Jacksonville	$259.280
9918260	San Francisco	$119.50
6465046	Ocala	$364.30
2882740	San Francisco	$462.880
7669546	Clay County	$210.180
2590204	San Francisco	$130.160
5708011	Middleburg	$12.810
5015301	San Diego	$129.480
8902638	Middleburg	$33.160
8821428	Clay County	$388.20
1169525	San Francisco	$157.710
9093513	Middleburg	$418.600
1925839	Middleburg	$496.430
7037304	San Francisco	$7.20
9294497	San Diego	$49.700
5505561	Middleburg	$111.210
2483758	San Francisco	$455.280
2551134	Clay County	$230.890
8035358	Middleburg	$107.920
8083962	Clay County	$325.850
9327626	San Francisco	$299.480
3803101	Ocala	$285.940
7168460	Jacksonville	$273.430
3643119	Ocala	$140.600
6187565	Clay County	$262.330
8496204	Ocala	$186.390
9211369	Middleburg	$127.980
9394278	San Diego	$137.760
3964729	Jacksonville	$11.180
9723518	Jacksonville	$342.510
2001478	Ocala	$350.120
3384153	Jacksonville	$230.520
2785395	Middleburg	$374.150
8184059	Middleburg	$214.20
5079631	Ocala	$467.150
6318377	Middleburg	$407.490
8092152	Clay County	$358.760
4616917	Jacksonville	$63.580
9567850	San Francisco	$411.300
5891461	Middleburg	$243.320
4906559	Jacksonville	$332.470
4926448	Ocala	$143.500
1942770	Ocala	$299.250
4727876	Clay County	$332.530
9486675	San Francisco	$98.60
5017247	Ocala	$184.40
5713549	San Francisco	$474.270
7707274	Ocala	$391.340
1118983	Jacksonville	$129.920
9873748	Jacksonville	$302.290
2384078	San Francisco	$466.490
2099995	Jacksonville	$419.10
1404879	Middleburg	$72.490
4790665	Clay County	$141.700
3086429	San Diego	$34.820
5463437	Ocala	$249.180
9596707	Clay County	$270.120
7130532	San Francisco	$275.140
4219028	Ocala	$376.860
5344571	San Francisco	$238.870
2947678	Middleburg	$333.550
1277100	Middleburg	$428.920
6316789	Clay County	$105.350
